idx,file,true_idx,true_label,pred_idx,pred_label,reason,max_prob
0,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_005.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.005,0.9999186992645264
1,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_006.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.012,0.9997722506523132
2,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_024.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.005,0.999956488609314
3,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_025.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.018,0.9995939135551453
4,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_027.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.005,0.9999686479568481
5,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_030.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.037,0.9993417859077454
6,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_032.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.015,0.9991907477378845
7,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_044.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.020,0.9993181228637695
8,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_046.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.038,0.9991911053657532
9,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_056.jpg,0,Half-ripened,4,NotBanana,NotBanana:far_dist(0.189>thr0.155),0.7406914234161377
10,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_057.jpg,0,Half-ripened,4,NotBanana,NotBanana:far_dist(0.139>thr0.109),0.8460813164710999
11,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_067.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.008,0.9998258948326111
12,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_070.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.034,0.9994117021560669
13,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_071.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.005,0.9999150037765503
14,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_073.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.037,0.9970763921737671
15,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_078.jpg,0,Half-ripened,4,NotBanana,NotBanana:far_dist(0.213>thr0.155),0.7261841893196106
16,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_080.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.011,0.9998295307159424
17,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_081.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.058,0.9984258413314819
18,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_089.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.012,0.9997468590736389
19,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_094.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.049,0.9993256330490112
20,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_095.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.016,0.9999237060546875
21,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_099.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.011,0.9999572038650513
22,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_103.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.008,0.9999152421951294
23,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_104.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.010,0.9997536540031433
24,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_114.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.009,0.9997788071632385
25,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_127.jpg,0,Half-ripened,0,Half-ripened,accepted_prob0.99_dist0.056,0.9922879934310913
26,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_128.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.013,0.9998953342437744
27,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_142.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.008,0.9999188184738159
28,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_146.jpg,0,Half-ripened,0,Half-ripened,accepted_prob0.99_dist0.048,0.9877074360847473
29,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_159.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.010,0.9988910555839539
30,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_163.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.012,0.9999171495437622
31,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_166.jpg,0,Half-ripened,4,NotBanana,NotBanana:far_dist(0.132>thr0.109),0.787658154964447
32,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_167.jpg,0,Half-ripened,0,Half-ripened,accepted_prob0.99_dist0.051,0.9926173090934753
33,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_175.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.023,0.9998677968978882
34,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_195.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.037,0.9977467656135559
35,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_196.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.011,0.9999524354934692
36,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_197.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.015,0.9996678829193115
37,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_203.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.010,0.9996833801269531
38,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_214.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.044,0.9984421133995056
39,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_216.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.013,0.9998589754104614
40,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_217.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.009,0.9999558925628662
41,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_220.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.004,0.999872088432312
42,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_223.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.022,0.9984145164489746
43,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_224.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.046,0.9994383454322815
44,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_225.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.021,0.9997369647026062
45,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_228.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.003,0.9999655485153198
46,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_233.jpg,0,Half-ripened,0,Half-ripened,accepted_prob0.99_dist0.089,0.9868098497390747
47,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_234.jpg,0,Half-ripened,0,Half-ripened,accepted_prob0.95_dist0.079,0.9495791792869568
48,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_238.jpg,0,Half-ripened,0,Half-ripened,accepted_prob0.99_dist0.067,0.9872691631317139
49,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_239.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.005,0.9998798370361328
50,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_250.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.012,0.9998039603233337
51,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_252.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.018,0.9987083673477173
52,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_260.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.009,0.9999222755432129
53,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_269.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.013,0.9999573230743408
54,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_270.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.011,0.9997294545173645
55,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_271.jpg,0,Half-ripened,0,Half-ripened,accepted_prob0.98_dist0.059,0.9823503494262695
56,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_273.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.028,0.9990677237510681
57,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_274.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.069,0.9954765439033508
58,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_276.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.024,0.9972357153892517
59,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_281.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.029,0.9994407296180725
60,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_283.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.004,0.9999245405197144
61,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_284.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.053,0.9995144605636597
62,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_296.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.004,0.9998823404312134
63,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_300.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.026,0.9987826943397522
64,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_305.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.007,0.9999430179595947
65,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_321.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.010,0.9998511075973511
66,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_322.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.024,0.9990297555923462
67,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_323.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.030,0.9997151494026184
68,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_332.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.029,0.9996405839920044
69,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_344.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.058,0.9952932000160217
70,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_348.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.025,0.9992814660072327
71,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_352.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.032,0.9983521699905396
72,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_363.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.004,0.999994158744812
73,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_367.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.021,0.9996869564056396
74,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_370.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.008,0.99986732006073
75,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_373.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.029,0.9980406165122986
76,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_379.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.007,0.9998289346694946
77,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_386.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.007,0.9999351501464844
78,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_387.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.010,0.9992809891700745
79,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_388.jpg,0,Half-ripened,0,Half-ripened,accepted_prob0.99_dist0.081,0.9913868308067322
80,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_389.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.034,0.9996436834335327
81,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_405.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.008,0.9997105002403259
82,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_408.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.047,0.9969083666801453
83,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_410.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.014,0.9991563558578491
84,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_429.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.016,0.9992352724075317
85,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_432.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.009,0.9999915361404419
86,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_438.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.009,0.999754011631012
87,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_440.jpg,0,Half-ripened,0,Half-ripened,accepted_prob0.99_dist0.053,0.992461621761322
88,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_459.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.010,0.9998804330825806
89,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_464.jpg,0,Half-ripened,0,Half-ripened,accepted_prob0.99_dist0.053,0.9914167523384094
90,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_469.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.026,0.9991084933280945
91,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_470.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.014,0.998047947883606
92,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_473.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.016,0.9994487166404724
93,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_482.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.005,0.9999425411224365
94,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_495.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.025,0.9990919828414917
95,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_503.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.018,0.9997453093528748
96,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_510.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.037,0.9996578693389893
97,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_511.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.021,0.9986044764518738
98,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_516.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.025,0.9986752867698669
99,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_517.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.014,0.9999574422836304
100,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_521.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.008,0.9999960660934448
101,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_525.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.013,0.9997441172599792
102,/home/bunnysingh/Documents/Ml/bannna_clasffied/test/Half-ripened/setengah-matang_530.jpg,0,Half-ripened,0,Half-ripened,accepted_prob1.00_dist0.040,0.9987056255340576
